"Data Source","세계 개발 지표",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Korea, Rep.","KOR","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.2276845061515","30.3342082673989","32.0648238413873","32.0752710596664","28.1829935588896","28.2250178965673","29.8180766409865","30.0603674039714","31.2272801332659","30.526875465186","32.5500266818874","36.3914425096334","32.4074909041543","",
"Korea, Rep.","KOR","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","114.2857143","111.8644068","117.4311927","118.2692308","119.8113208","120.7920792","131.5789474","134.3137255","138.0530973","138.2608696","133.3333333","134.1880342","134.2105263","132.4324324","137.2727273","138.4615385","125.8928571","121.9047619","117.2413793","114.9425287","100","92.90823971","92.0722567","88.51957927","85.31032006","77.45858368","70.40444061","65.94362332","58.81489765","61.31065089","56.82242124","51.05174842","50.19474083","51.85720989","52.72107905","59.02676024","59.61550849","59.40316948","56.3331208","54.0062852","",
"Korea, Rep.","KOR","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","9.49928952213239","14.7669655606749","16.9845736073908","16.2204799051182","15.0913313595068","20.3791722296395","24.6124344555236","27.1216059438803","31.3762183235867","31.8808890656495","31.3158549667453","34.9472411285631","38.1778201373105","53.767038517902","57.889608855155","56.0908608065556","55.1459289149301","54.2546310477695","53.2862748216025","52.8717529311191","60.8636446981883","64.9894724158342","58.8369921063565","57.7003096352679","61.4048354970588","60.632100597188","56.7458183555403","59.6837030496854","56.3688238614141","50.1532247056425","47.5919037157664","46.3921613890732","44.5557642515983","42.2842713447784","42.7854951121282","45.9203336080925","45.8977339758367","49.2808706908353","58.8512383768668","52.9508133934564","57.7510654808893","53.2333823082841","50.1552754684888","53.0290037008951","60.3029590268672","58.3652128264225","60.2770420831711","62.1120800406861","81.8533437244572","72.7395422640289","77.9321514407257","86.1480328301884","83.4974910839536","78.437391670082","74.0174839510614","65.7165767574392","60.1034617865811","64.7928462440721","66.0964662384628","63.4937206579186","60.1113749689483",
"Korea, Rep.","KOR","Population, total","SP.POP.TOTL","25012374","25765673","26513030","27261747","27984155","28704674","29435571","30130983","30838302","31544266","32240827","32882704","33505406","34103149","34692266","35280725","35848523","36411795","36969185","37534236","38123775","38723248","39326352","39910403","40405956","40805744","41213674","41621690","42031247","42449038","42869283","43295704","43747962","44194628","44641540","45092991","45524681","45953580","46286503","46616677","47008111","47370164","47644736","47892330","48082519","48184561","48438292","48683638","49054708","49307835","49554112","49936638","50199853","50428893","50746659","51014947","51217803","51361911","51606633","51709098","51780579",
"Korea, Rep.","KOR","Population growth (annual %)","SP.POP.GROW","","2.96724397295283","2.85932081160452","2.78482005271866","2.61539463516021","2.54215095083813","2.51438743184719","2.33501369333053","2.32035109131777","2.26343403916519","2.18417394689467","1.97132365752048","1.87599936966995","1.7682927120788","1.712705419969","1.68200005474822","1.59655859407233","1.55903938603208","1.5191967189167","1.51687486775835","1.55846267819582","1.56020399239876","1.54546853308404","1.47421882108841","1.23401831140412","0.984565597108821","0.99472386803381","0.985133112424576","0.979189224150187","0.989093268458301","0.985130494218767","0.989785981821526","1.03916135557339","1.01582143742509","1.00615724501748","1.00620085457685","0.952779421852704","0.937713808920155","0.72186501759031","0.710794593061376","0.836180864297766","0.767241774760276","0.577957276814842","0.518321452985646","0.396331436697806","0.211997784117548","0.525199940498775","0.505234032920336","0.759316681850927","0.514682827535803","0.49822508440111","0.768971758582589","0.525713660600414","0.455218622164662","0.628149861433639","0.527288497407793","0.396851823381145","0.280968018301691","0.475334410431755","0.198353208370259","0.138141336294406",
"Korea, Rep.","KOR","Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","6.095","5.929","5.738","5.533","5.325","5.125","4.941","4.772","4.617","4.474","4.53","4.54","4.12","4.07","3.77","3.43","3","2.99","2.64","2.9","2.82","2.57","2.39","2.06","1.74","1.66","1.58","1.53","1.55","1.56","1.57","1.71","1.76","1.654","1.656","1.634","1.574","1.537","1.464","1.425","1.48","1.309","1.178","1.191","1.164","1.085","1.132","1.259","1.192","1.149","1.226","1.244","1.297","1.187","1.205","1.239","1.172","1.052","0.977","0.918","",
"Korea, Rep.","KOR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","55.4155365853659","56.0149756097561","56.5123170731707","56.9706097560976","57.4409268292683","57.9682926829268","58.5751707317073","59.2414634146341","59.9446097560976","60.6750243902439","62.1634146341463","62.6121951219512","63.009756097561","63.4073170731707","63.8048780487805","64.1536585365854","64.5024390243902","64.9","65.1975609756098","65.5463414634146","66.0463414634146","66.5463414634146","67.0951219512195","67.5463414634146","68.1951219512195","68.7951219512195","69.4463414634146","69.9975609756098","70.5487804878049","71.0487804878049","71.5975609756098","72.0463414634146","72.4975609756098","72.9975609756098","73.3975609756098","73.7","74.1512195121951","74.6024390243903","75.0048780487805","75.409756097561","75.909756097561","76.4121951219512","76.7658536585366","77.2146341463415","77.6658536585366","78.1682926829268","78.6682926829268","79.119512195122","79.5170731707317","79.9682926829268","80.1170731707317","80.5682926829269","80.819512195122","81.2707317073171","81.7219512195122","82.0243902439024","82.2756097560976","82.6268292682927","82.6268292682927","83.2268292682927","",
"Korea, Rep.","KOR","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","79.7","76.2","73","69.9","66.9","63.7","60.4","57","53.6","50.3","47.1","44.3","41.8","39.8","38","36.5","35.1","33.8","32.4","31","29.4","27.6","25.9","24.1","22.3","20.5","18.8","17.2","15.7","14.4","13.2","12.2","11.2","10.4","9.6","8.9","8.3","7.7","7.2","6.8","6.4","6.1","5.8","5.5","5.1","4.8","4.4","4.1","3.9","3.7","3.5","3.4","3.3","3.2","3.1","3","2.9","2.8","2.8","2.7","",
"Korea, Rep.","KOR","Contraceptive prevalence, any methods (% of women ages 15-49)","SP.DYN.CONU.ZS","","","","","","16","20","","","","","24.5","","","34.9","","44.2","","","54.5","","","57.7","","","70.4","","","77.1","","","79.4","","","77.4","","","80.5","","","79.3","","","84.5","","80.2","79.6","","","80","","","77.1","","","79.6","","","82.3","","",
"Korea, Rep.","KOR","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","32.489","30.967","29.445","27.4024","25.3598","23.3172","21.2746","19.232","17.958","16.684","15.41","14.136","12.862","13.2402","13.6184","13.9966","14.3748","14.753","14.2606","13.7682","13.2758","12.7834","12.291","11.1114","9.9318","8.7522","7.5726","6.393","5.9366","5.4802","5.0238","4.5674","4.111","3.874","3.637","3.4","3.163","2.926","2.7788","2.6316","2.4844","2.3372","2.19","2.1518","2.1136","2.0754","2.0372","1.999","1.9524","1.9058","1.8592","1.8126","1.766","1.6886","1.6112","1.5338","1.4564","1.379","1.3204","1.2618","",
